Iteration, Item, Cond, Target, P_DO, P_PO
8,22,control,give,0.6892000000000001,0.3107999999999999
8,23,control,lend,0.49740000000000006,0.5025999999999999
8,24,control,send,0.40340000000000015,0.5965999999999999
8,25,control,give,0.712,0.28800000000000014
8,26,control,hand,0.262,0.738
8,27,control,send,0.37219999999999975,0.6278000000000002
8,28,control,show,0.3328,0.6672
8,29,control,loan,0.4171999999999998,0.5828000000000003
8,30,control,hand,0.2569999999999997,0.7430000000000003
8,31,control,lend,0.4753999999999998,0.5246000000000002
8,32,control,send,0.4002000000000002,0.5997999999999998
9,1,control,show,0.3350000000000002,0.6649999999999999
9,2,control,hand,0.2534000000000001,0.7466
9,3,control,give,0.7070000000000003,0.29299999999999987
9,4,control,loan,0.42659999999999976,0.5734000000000001
9,5,control,send,0.38719999999999966,0.6128000000000005
9,6,control,give,0.6995999999999998,0.3004000000000002
9,7,control,post,0.4070000000000003,0.5929999999999997
9,8,control,lend,0.5056,0.49439999999999995
9,9,control,show,0.3507999999999999,0.6492000000000001
9,10,control,hand,0.25819999999999954,0.7418000000000005
9,11,control,loan,0.41060000000000013,0.5893999999999999
9,12,control,sell,0.2861999999999998,0.7138000000000002
9,13,control,send,0.3878000000000002,0.6121999999999999
9,14,control,give,0.6978,0.3022000000000001
9,15,control,post,0.3963999999999999,0.6036
9,16,control,show,0.3295999999999997,0.6704000000000002
9,17,control,hand,0.24940000000000026,0.7505999999999996
9,18,control,lend,0.5128,0.48719999999999997
9,19,control,send,0.37079999999999985,0.6292000000000001
9,20,control,show,0.31899999999999984,0.6810000000000002
9,21,control,loan,0.4129999999999997,0.5870000000000003
9,22,control,give,0.7018,0.2981999999999999
9,23,control,lend,0.4956000000000001,0.5043999999999998
9,24,control,send,0.39459999999999973,0.6054000000000002
9,25,control,give,0.7008000000000006,0.2991999999999993
9,26,control,hand,0.25959999999999994,0.7404000000000002
9,27,control,send,0.37959999999999977,0.6204000000000001
9,28,control,show,0.31720000000000015,0.6827999999999999
9,29,control,loan,0.36260000000000014,0.6374
9,30,control,hand,0.25960000000000016,0.7403999999999997
9,31,control,lend,0.49679999999999974,0.5032000000000003
9,32,control,send,0.3957999999999997,0.6042000000000003
10,1,control,show,0.34659999999999996,0.6534
10,2,control,hand,0.27920000000000017,0.7207999999999998
10,3,control,give,0.7155999999999998,0.2844000000000001
10,4,control,loan,0.39800000000000024,0.6019999999999999
10,5,control,send,0.3877999999999997,0.6122000000000003
10,6,control,give,0.6822,0.31779999999999997
10,7,control,post,0.40639999999999976,0.5936000000000002
10,8,control,lend,0.5127999999999999,0.4872000000000001
10,9,control,show,0.34960000000000035,0.6503999999999996
10,10,control,hand,0.25819999999999976,0.7418000000000002
10,11,control,loan,0.4116000000000001,0.5883999999999999
10,12,control,sell,0.3113999999999998,0.6886000000000001
10,13,control,send,0.3830000000000001,0.617
10,14,control,give,0.6933999999999998,0.3066000000000002
10,15,control,post,0.4044,0.5956
10,16,control,show,0.3378,0.6621999999999999
10,17,control,hand,0.25640000000000013,0.7435999999999999
10,18,control,lend,0.5047999999999999,0.4952000000000001
10,19,control,send,0.40140000000000003,0.5986
10,20,control,show,0.33320000000000005,0.6667999999999998
10,21,control,loan,0.4132000000000004,0.5867999999999995
10,22,control,give,0.6979999999999998,0.3020000000000002
10,23,control,lend,0.5038,0.4962
10,24,control,send,0.38939999999999997,0.6106
10,25,control,give,0.6912,0.3088000000000001
10,26,control,hand,0.24800000000000003,0.752
10,27,control,send,0.4039999999999999,0.5960000000000001
10,28,control,show,0.3417999999999998,0.6582000000000002
10,29,control,loan,0.40359999999999996,0.5964
10,30,control,hand,0.2717999999999998,0.7282000000000002
10,31,control,lend,0.48220000000000013,0.5177999999999999
10,32,control,send,0.39559999999999973,0.6044000000000003
